name,price,score,num_plp,img_url
佳能6D Mark II(单机)全画幅高端单反，外接闪光灯，NFC功能,9299,9.4,146,https://2d.zol-img.com.cn/product/184_220x165/659/ceYGphJl1Hy2.jpg
尼康D810(单机)精准对焦，高速连拍，全清动画录制,11299.999999999998,8.6,164,https://2d.zol-img.com.cn/product/136_220x165/341/ce5LkayetMSQg.jpg
佳能5D Mark IV(单机)双对焦系统，7张/秒来连拍，4K视频,17300.0,8.9,85,https://2f.zol-img.com.cn/product/176_220x165/405/ce0YhK7QLgF82.jpg
尼康D850(单机)全画幅高端单反，4K超高清视频，8K延时摄影,21800.0,9.1,34,https://2a.zol-img.com.cn/product/185_220x165/494/ceqOi4cDiY1M.jpg
佳能EOS M6套机(15-45mm IS STM)APS-C画幅微单，全高清视频拍摄，全像素双核对焦系统,3799,9.6,154,https://2a.zol-img.com.cn/product/180_220x165/970/cehGaaY06YTI.jpg
佳能EOS M50套机(EF-M 15-45mm IS STM)APS-C画幅，双核对焦系统，4K视频,3999,9.5,85,https://2f.zol-img.com.cn/product/190_220x165/861/ceLXjooepoOgk.jpg
富士XF10APS画幅，自动对焦系统，4K视频,3499,7.8,2,https://2a.zol-img.com.cn/product/192_220x165/256/ce4BzzQBP8Ew6.jpg
尼康Z7,27272,9.7,2,https://2d.zol-img.com.cn/product/192_220x165/309/ceSQahDFmf69o.jpg
佳能EOS M50(单机)双核对焦系统，10张/秒来连拍，4K视频,3699,9.5,85,https://2f.zol-img.com.cn/product/190_220x165/849/ces2CIZnLQYRw.jpg
佳能EOS M6(单机)APS-C画幅CMOS传感器，7张/秒连拍速度，全高清视频拍摄,3599,9.6,154,https://2e.zol-img.com.cn/product/180_220x165/920/cepHcW4WWInR.jpg
佳能EOS 200D套机(18-55mm IS STM)APS-C画幅相机套机，18-55mm实际焦距，全高清拍摄,3699,9.1,50,https://2c.zol-img.com.cn/product/184_220x165/580/ceBBThz1jz7k.jpg
索尼A7RIII(单机)全画幅Exmor R CMOS传感器，4K超高清视频拍摄，内置WIFI和蓝牙功能,18300.0,7.4,7,https://2b.zol-img.com.cn/product/187_220x165/753/ceo50jDEg1s4A.jpg
索尼A7 III(单机)全画幅，机械电子快门，4K视频,13700.000000000002,7.9,12,https://2e.zol-img.com.cn/product/189_220x165/956/ceDePE8jPMw.jpg
佳能6D(单机)全画幅，高感出众，内置Wi-Fi,7378,8.9,476,https://2d.zol-img.com.cn/product/104_220x165/141/ce3NzNzVNwgTo.jpg
尼康D750(单机)轻巧机身，亮度重点测光，可翻转LCD屏,7099,9.3,521,https://2b.zol-img.com.cn/product/142_220x165/615/ce0QN6q46GU.jpg
索尼RX100 V高性能卡片机，超慢动作视频，机内降噪,5749,7.8,10,https://2e.zol-img.com.cn/product/177_220x165/356/ceyTp5gkNf1LI.jpg
佳能G1 X Mark IIIAPS-C画幅传感器，内置电子取景器，支持光学防抖,6999,8.7,57,https://2a.zol-img.com.cn/product/186_220x165/154/ceAFIJGddyzmQ.jpg
佳能80D(单机)云存储，45点十字对焦，内置WiFi与NFC,5999,8.6,60,https://2a.zol-img.com.cn/product/170_220x165/754/ceMpEZL7rOO.jpg
佳能G7 X Mark II1英寸卡片机，小巧时尚外观，触控操作,3999,9.7,140,https://2b.zol-img.com.cn/product/173_220x165/185/ceM79cp7tRojE.jpg
佳能60D(单机)RAW图像处理，可旋转屏，创意滤镜,6599,8.7,308,https://2f.zol-img.com.cn/product/58_220x165/395/ceQyPY605dVcg.jpg
尼康Z6,16735,7.0,3,https://2e.zol-img.com.cn/product/192_220x165/256/cevD891Wz5yXI.jpg
尼康D7200(单机)光学取景，APS-C画幅，EXPEED 4图形处理器,4599,8.7,103,https://2f.zol-img.com.cn/product/176_220x165/485/ceK9PHmKFvP3o.jpg
索尼ILCE-6000(单机)APS-C画幅，4D对焦，OLED电子取景器,2999,9.6,359,https://2d.zol-img.com.cn/product/128_220x165/347/cexVrajy8HDc.jpg
佳能EOS 77D(单机)APS-C画幅入门单反，全高清拍摄，全像素双核对焦,4599,9.2,38,https://2a.zol-img.com.cn/product/180_220x165/672/cezH2wzNsdrzM.jpg
索尼A7RII(单机)全画幅微单，4K视频录制，五轴防抖,12000.0,8.7,79,https://2a.zol-img.com.cn/product/167_220x165/784/ceBxC50ye0TYs.jpg
佳能70D(单机)触控翻转屏，全像素双核，内置WiFi,6099,9.0,384,https://2f.zol-img.com.cn/product/118_220x165/965/cerrEhu8E6BM.jpg
佳能5D Mark III(单机)全画幅，61点对焦，防尘防水滴,16200.000000000002,8.9,386,https://2b.zol-img.com.cn/product/84_220x165/349/ceLtREOudWfec.jpg
尼康D610(单机)小巧机身，Qc快门释放模式，全高清动画,5599,9.2,192,https://2f.zol-img.com.cn/product/125_220x165/315/ceqEvQmuBxQXs.jpg
理光GR II轻巧型卡片机，全高清拍摄，支持NFC,4180,7.0,16,https://2f.zol-img.com.cn/product/153_220x165/589/ceg8zYGDHFkO.jpg
索尼A6300(单机)APS-C画幅，高密度智能对焦，4K拍摄,5166,9.0,36,https://2f.zol-img.com.cn/product/172_220x165/81/celoub7VMGXDE.jpg
富士X-H1APS-C画幅，机械快门，五轴防抖,11200.000000000002,9.7,62,https://2f.zol-img.com.cn/product/189_220x165/297/ceFaucjxkJFOg.jpg
佳能600D(单机)全高清短片拍摄，旋转屏设计，小巧机身,2899,8.9,267,https://2c.zol-img.com.cn/product/149_220x165/196/cenJnVmXRSBhE.jpg
索尼A7 II(单机)全画幅，五轴防抖，2430万有效像素，混合对焦,7899,9.6,147,https://2c.zol-img.com.cn/product/147_220x165/108/ceVtF931GoXdM.jpg
富士X-T100套机(XC 15-45mm)焦平面快门，光学防抖，4K视频,4590,,0,https://2b.zol-img.com.cn/product/191_220x165/607/ceFxSeL1Jhz2.jpg
尼康D5300(单机)可翻转LCD屏，无线遥控拍摄，光学取景器,2599,9.7,528,https://2e.zol-img.com.cn/product/121_220x165/512/ceD2YhV718Osc.jpg
富士X-T3(单机)微单相机，X-Trans CMOS传感器,9790,9.0,2,https://2e.zol-img.com.cn/product/192_220x165/650/cewv9VYBp3oKU.jpg
尼康P1000宽视角显示屏，机械和CMOS电子快门，闪光同步速度,6380,7.3,4,https://2b.zol-img.com.cn/product/191_220x165/683/ceFNHjepGMKsc.jpg
尼康D800(单机)全画幅单反，镁合金机身，高密度AF,8499,8.9,259,https://2a.zol-img.com.cn/product/149_220x165/694/ceLcmHBzeD0Tk.jpg
佳能800D(单机)45点对焦系统，全像素双核对焦，电子五轴防抖,4199,9.8,143,https://2b.zol-img.com.cn/product/180_220x165/965/ceJ1kayshBr9.jpg
尼康D7100(单机)高密度自动对焦，光学低通滤镜，全高清摄像,4634,9.6,750,https://2f.zol-img.com.cn/product/110_220x165/731/ce7t7DTjPvOA.jpg
佳能800D套机(18-55mm IS STM)APS-C画幅，全新DIGIC 7处理器，45点对焦系统,4699,9.8,143,https://2c.zol-img.com.cn/product/180_220x165/148/ceUlaG7l5z1J2.jpg
尼康D5(单机)高感光度，4K视频拍摄，三种自动白平衡模式,33700.0,9.3,49,https://2d.zol-img.com.cn/product/169_220x165/153/cemGhARoV0YYc.jpg
佳能EOS M100套机(15-45mm IS STM)APS-C画幅传感器，15-45mm实际焦距，全像素双核对焦方式,2389,9.3,56,https://2b.zol-img.com.cn/product/185_220x165/675/ceI65vDO6mMw.jpg
尼康D7000(单机)镁铝合金机身，专业便捷操控性，全高清拍摄,3899,9.3,682,https://2f.zol-img.com.cn/product/149_220x165/643/ceYx57nsMpuVo.jpg
佳能5Ds R(单机)5060万有效像素，无低通滤镜,15000.0,7.7,40,https://2f.zol-img.com.cn/product/154_220x165/173/ceynwGMHK9xao.jpg
佳能EOS-1D X Mark II(单机)全画幅，80点对焦，支持实时取景,35000.0,9.1,30,https://2d.zol-img.com.cn/product/172_220x165/467/cebrNJv88SV32.jpg
松下LX1004/3画幅，4K视频拍摄，实时取景器,3290,9.1,46,https://2b.zol-img.com.cn/product/140_220x165/719/ceccTP8ueQjQk.jpg
佳能80D套机(EF-S 18-135mm IS USM)中端单反，高像素密度，传感器性能均衡,7888,8.6,60,https://2e.zol-img.com.cn/product/172_220x165/496/ceD8pKjfPw3IE.jpg
